ROW_ID,1857,1861,1866,1868,Section/PoemTitle,INDIVID TITLES,IDNO,Is Individual
1,,,,, PRIÈRE,,FDM----,FALSE
2,,,,,**RÉVOLTE **,,FDM----,FALSE
3,39,0,5,0,A CELLE QUI EST TROP GAIE,,FDM-039-000-005-000,TRUE
4,0,0,22,0,A M. Eugene Fromentin,,FDM-000-000-022-000,FALSE
5,0,0,0,16,A Theodore de Banville,,FDM-000-000-000-016,FALSE
6,54,61,0,63,A UNE DAME CREOLE,,FDM-054-061-000-063,TRUE
7,0,57,0,58,A une Madone,,FDM-000-057-000-058,FALSE
8,0,0,20,92,A UNE MALABARAISE,,FDM-000-000-020-092,FALSE
9,65,88,0,112,A UNE MENDIANTE ROUSSE,,FDM-065-088-000-112,FALSE
10,0,93,0,117,A UNE PASSANTE,,FDM-000-093-000-117,FALSE
11,91,119,0,144,ABEL ET CAÏN,,FDM-091-119-000-144,TRUE
12,0,81,0,83,ALCHIMIE DE LA DOULEUR,,FDM-000-081-000-083,FALSE
13,85,114,0,139,ALLEGORIE,,FDM-085-114-000-139,TRUE
14,25,27,0,28,Avec ses vetements ondoyants et nacres,,FDM-025-027-000-028,FALSE
15,1,1,0,1,BENEDICTION,,FDM-001-001-000-001,TRUE
16,0,0,0,99,Bien loin d’ici,,FDM-000-000-000-099,FALSE
17,13,13,0,13,BOHEMIENS EN VOYAGE,,FDM-013-013-000-013,FALSE
18,63,101,0,125,BRUMES ET PLUIES,,FDM-063-101-000-125,FALSE
19,51,55,0,56,Causerie,,FDM-051-055-000-056,FALSE
20,0,58,0,59,CHANSON D'APRES-MIDI,,FDM-000-058-000-059,TRUE
21,0,56,0,57,CHANT D'AUTOMNE,,FDM-000-056-000-057,FALSE
22,16,16,0,17,Châtiment de l'Orgueil,,FDM-016-016-000-017,FALSE
23,46,50,0,51,Ciel brouille,,FDM-046-050-000-051,FALSE
24,70,99,0,123,"CII Je n'ai pas oublié, voisine de la ville (untitled)",,FDM-070-099-000-123,FALSE
25,69,100,0,124,CIII La servante au grand coeur dont vous étiez jalousie (untitled),,FDM-069-100-000-124,FALSE
26,41,45,0,46,CONFESSION,,FDM-041-045-000-046,FALSE
27,4,4,0,4,Correspondances,,FDM-004-004-000-004,TRUE
28,0,97,0,121,DANSE MACABRE,,FDM-000-097-000-121,FALSE
29,28,30,0,31,DE PROFUNDIS CLAMAVI,,FDM-028-030-000-031,TRUE
30,15,15,0,15,DON JUAN AUX ENFERS,,FDM-015-015-000-015,FALSE
31,0,35,0,36,Duellum,,FDM-000-035-000-036,FALSE
32,3,3,0,3,ELEVATION,,FDM-003-003-000-003,FALSE
33,0,0,0,133,Epigraphe pour un livre condamne,,FDM-000-000-000-133,FALSE
34,81,0,3,0,FEMMES DAMNEES (A la pâle clarté),,FDM-081-000-003-000,TRUE
35,82,111,0,136,FEMMES DAMNEES (Comme un bétail pensif),,FDM-082-111-000-136,TRUE
36,,,,,FLEUR DU MAL,,FDM----,FALSE
37,53,60,13,62,FRANCISCAE MEAE LAUDES (missing poem??),,FDM-053-060-013-062,TRUE
38,43,47,0,48,Harmonie du soir,,FDM-043-047-000-048,TRUE
39,0,82,0,84,Horreur sympathique,,FDM-000-082-000-084,FALSE
40,0,0,0,94,HYMNE,,FDM-000-000-000-094,FALSE
41,0,21,10,22,HYMNE A LA BEAUTE,,FDM-000-021-010-022,TRUE
42,5,5,0,5,J’aime le souvenir de ces epoques nues,,FDM-005-005-000-005,FALSE
43,22,24,0,25,Je t'adore à l'égal de la voûte nocturne (untitled),,FDM-022-024-000-025,TRUE
44,35,39,0,40,Je te donne ces versa fin que si mon nom,,FDM-035-039-000-040,FALSE
45,0,2,0,2,L'ALBATROS,,FDM-000-002-000-002,FALSE
46,93,104,0,128,L'AME DU VIN,,FDM-093-104-000-128,FALSE
47,0,98,0,122,L'AMOUR DU MENSONGE,,FDM-000-098-000-122,FALSE
48,0,0,0,91,L'AVERTISSEUR,,FDM-000-000-000-091,FALSE
49,10,10,0,10,L'ENNEMI,,FDM-010-010-000-010,FALSE
50,0,0,0,89,L'EXAMEN DE MINUIT,,FDM-000-000-000-089,FALSE
51,52,83,0,105,L'HEAUTONTIMOROUMENOS,,FDM-052-083-000-105,TRUE
52,14,14,0,14,L'HOMME ET LA MER,,FDM-014-014-000-014,TRUE
53,0,85,0,107,L'HORLOGE,,FDM-000-085-000-107,TRUE
54,18,18,0,19,L'IDEAL,,FDM-018-018-000-019,TRUE
55,0,0,18,88,L'IMPREVU,,FDM-000-000-018-088,TRUE
56,64,84,0,106,L'IRREMEDIABLE,,FDM-064-084-000-106,TRUE
57,50,54,0,55,L'Irréparable,,FDM-050-054-000-055,FALSE
58,89,117,0,142,L’Amour et le crane,,FDM-089-117-000-142,FALSE
59,42,46,0,47,L’Aube spirituelle,,FDM-042-046-000-047,FALSE
60,49,53,0,54,L’Invitation au voyage,,FDM-049-053-000-054,TRUE
61,86,115,0,140,La Beatrice,,FDM-086-115-000-140,FALSE
62,17,17,0,18,LA BEAUTE,,FDM-017-017-000-018,FALSE
63,0,23,0,24,LA CHEVELURE,,FDM-000-023-000-024,TRUE
64,58,74,0,76,LA CLOCHE FELEE,,FDM-058-074-000-076,FALSE
65,78,109,0,134,La Destruction,,FDM-078-109-000-134,FALSE
66,0,124,0,149,La Fin de la journee,,FDM-000-124-000-149,TRUE
67,84,113,0,138,La Fontaine du sang,,FDM-084-113-000-138,FALSE
68,19,19,0,20,La Geante,,FDM-019-019-000-020,FALSE
69,0,0,0,111,LA LUNE OFFENSEE,,FDM-000-000-000-111,TRUE
70,,,,,LA MORT,,FDM----,FALSE
71,98,121,0,146,LA MORT DES AMANTS,,FDM-098-121-000-146,TRUE
72,100,123,0,148,La Mort des artistes,,FDM-100-123-000-148,FALSE
73,99,122,0,147,LA MORT DES PAUVRES,,FDM-099-122-000-147,FALSE
74,7,7,0,7,La Muse malade,,FDM-007-007-000-007,FALSE
75,8,8,0,8,La Muse vénale,,FDM-008-008-000-008,FALSE
76,76,69,0,71,LA MUSIQUE,,FDM-076-069-000-071,TRUE
77,77,68,0,70,LA PIPE,,FDM-077-068-000-070,TRUE
78,0,0,0,86,LA PRIERE D'UN PAÏEN,,FDM-000-000-000-086,TRUE
79,0,0,19,98,La Rancon,,FDM-000-000-019-098,FALSE
80,12,12,0,12,LA VIE ANTERIEURE,,FDM-012-012-000-012,FALSE
81,0,0,17,93,LA VOIX,,FDM-000-000-017-093,FALSE
82,34,36,0,37,LE BALCON,,FDM-034-036-000-037,FALSE
83,48,52,0,53,LE BEAU NAVIRE,,FDM-048-052-000-053,TRUE
84,0,0,0,85,"Le Calumet de paix, imite de Longfellow",,FDM-000-000-000-085,FALSE
85,47,51,0,52,LE CHAT (Dans ma cervelle se promène),,FDM-047-051-000-052,FALSE
86,33,34,0,35,"LE CHAT (Viens, mon beau chat)",,FDM-033-034-000-035,FALSE
87,0,0,1,100,LE COUCHER DU SOLEIL ROMANTIQUE,,FDM-000-000-001-100,FALSE
88,0,0,0,87,LE COUVERCLE,,FDM-000-000-000-087,TRUE
89,68,103,0,127,Le Crepuscule du matin,,FDM-068-103-000-127,FALSE
90,67,95,0,119,LE CREPUSCULE DU SOIR,,FDM-067-095-000-119,FALSE
91,0,89,0,113,LE CYGNE,,FDM-000-089-000-113,FALSE
92,44,48,0,49,LE FLACON,,FDM-044-048-000-049,TRUE
93,38,43,0,44,Le Flambeau vivant,,FDM-038-043-000-044,FALSE
94,0,0,0,102,LE GOUFFRE,,FDM-000-000-000-102,FALSE
95,0,80,0,82,LE GOUT DU NEANT,,FDM-000-080-000-082,FALSE
96,11,11,0,11,Le Guignon,,FDM-011-011-000-011,FALSE
97,0,0,8,97,LE JET D'EAU,,FDM-000-000-008-097,FALSE
98,66,96,0,120,LE JEU,,FDM-066-096-000-120,FALSE
99,30,0,4,0,LE LETHE,,FDM-030-000-004-000,TRUE
100,0,20,0,21,LE MASQUE,,FDM-000-020-000-021,TRUE
101,8,9,0,9,Le Mauvais Moine,,FDM-008-009-000-009,FALSE
102,0,0,12,0,Le Monstre,,FDM-000-000-012-000,FALSE
103,73,72,0,74,LE MORT JOYEUX,,FDM-073-072-000-074,FALSE
104,45,49,0,50,LE POISON,,FDM-045-049-000-050,TRUE
105,0,37,0,38,LE POSSEDE,,FDM-000-037-000-038,FALSE
106,0,0,0,95,LE REBELLE,,FDM-000-000-000-095,FALSE
107,90,118,0,143,Le Reniement de saint Pierre,,FDM-090-118-000-143,FALSE
108,0,125,0,150,LE REVE D'UN CURIEUX,,FDM-000-125-000-150,TRUE
109,72,63,0,65,LE REVENANT,,FDM-072-063-000-065,FALSE
110,26,28,0,29,LE SERPENT QUI DANSE,,FDM-026-028-000-029,FALSE
111,2,87,0,109,LE SOLEIL,,FDM-002-087-000-109,TRUE
112,0,94,0,118,Le Squelette laboureur,,FDM-000-094-000-118,FALSE
113,71,73,0,75,Le Tonneau de la haine,,FDM-071-073-000-075,FALSE
