1857,1861,1866,1868,Section1857,Section1861,Section1866,Section1868,PIÈCES CONDAMNÉES,PoemTitle,IDNO
80,0,2,0,FLEUR DU MAL,nope,"PIECES CONDAMNEES, TIREES DES FLEURS DU MAL",nope,PIÈCES CONDAMNÉES,LESBOS,FDM-080-000-002-000
81,0,3,0,FLEUR DU MAL,nope,"PIECES CONDAMNEES, TIREES DES FLEURS DU MAL",nope,PIÈCES CONDAMNÉES,FEMMES DAMNEES (A la pâle clarté),FDM-081-000-003-000
30,0,4,0,SPLEEN ET IDÉAL,nope,"PIECES CONDAMNEES, TIREES DES FLEURS DU MAL",nope,PIÈCES CONDAMNÉES,LE LETHE,FDM-030-000-004-000
39,0,5,0,SPLEEN ET IDÉAL,nope,"PIECES CONDAMNEES, TIREES DES FLEURS DU MAL",nope,PIÈCES CONDAMNÉES,A CELLE QUI EST TROP GAIE,FDM-039-000-005-000
20,0,6,0,SPLEEN ET IDÉAL,nope,"PIECES CONDAMNEES, TIREES DES FLEURS DU MAL",nope,PIÈCES CONDAMNÉES,LES BIJOUX,FDM-020-000-006-000
87,0,7,0,FLEUR DU MAL,nope,"PIECES CONDAMNEES, TIREES DES FLEURS DU MAL",nope,PIÈCES CONDAMNÉES,LES METAMORPHOSES DU VAMPIRE,FDM-087-000-007-000
0,0,11,0,nope,nope,GALANTERIES,nope,nope,Les Promesses d’un visage,FDM-000-000-011-000
0,0,12,0,nope,nope,GALANTERIES,nope,nope,Le Monstre,FDM-000-000-012-000
0,0,21,0,nope,nope,BOUFFONNERIES,nope,nope,Sur les Debuts d’Amina Boschetti,FDM-000-000-021-000
0,0,22,0,nope,nope,BOUFFONNERIES,nope,nope,A M. Eugene Fromentin,FDM-000-000-022-000
0,0,23,0,nope,nope,BOUFFONNERIES,nope,nope,Un Cabaret folatre,FDM-000-000-023-000
1,1,0,1,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,BENEDICTION,FDM-001-001-000-001
0,2,0,2,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L'ALBATROS,FDM-000-002-000-002
3,3,0,3,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,ELEVATION,FDM-003-003-000-003
4,4,0,4,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Correspondances,FDM-004-004-000-004
5,5,0,5,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,J’aime le souvenir de ces epoques nues,FDM-005-005-000-005
6,6,0,6,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LES PHARES,FDM-006-006-000-006
7,7,0,7,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,La Muse malade,FDM-007-007-000-007
8,8,0,8,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,La Muse vénale,FDM-008-008-000-008
8,9,0,9,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Le Mauvais Moine,FDM-008-009-000-009
10,10,0,10,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L'ENNEMI,FDM-010-010-000-010
11,11,0,11,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Le Guignon,FDM-011-011-000-011
12,12,0,12,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LA VIE ANTERIEURE,FDM-012-012-000-012
13,13,0,13,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,BOHEMIENS EN VOYAGE,FDM-013-013-000-013
14,14,0,14,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L'HOMME ET LA MER,FDM-014-014-000-014
15,15,0,15,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,DON JUAN AUX ENFERS,FDM-015-015-000-015
0,0,0,16,nope,nope,nope,SPLEEN ET IDÉAL,nope,A Theodore de Banville,FDM-000-000-000-016
16,16,0,17,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Châtiment de l'Orgueil,FDM-016-016-000-017
17,17,0,18,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LA BEAUTE,FDM-017-017-000-018
18,18,0,19,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L'IDEAL,FDM-018-018-000-019
19,19,0,20,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,La Geante,FDM-019-019-000-020
0,20,0,21,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE MASQUE,FDM-000-020-000-021
0,21,10,22,nope,SPLEEN ET IDÉAL,GALANTERIES,SPLEEN ET IDÉAL,nope,HYMNE A LA BEAUTE,FDM-000-021-010-022
21,22,0,23,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Parfun exotique,FDM-021-022-000-023
0,23,0,24,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LA CHEVELURE,FDM-000-023-000-024
22,24,0,25,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Je t'adore à l'égal de la voûte nocturne (untitled),FDM-022-024-000-025
23,25,0,26,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Tu mettrais l'univers entier dans ta ruelle (untitled),FDM-023-025-000-026
24,26,0,27,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,SED NON SATIATA,FDM-024-026-000-027
25,27,0,28,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Avec ses vetements ondoyants et nacres,FDM-025-027-000-028
26,28,0,29,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE SERPENT QUI DANSE,FDM-026-028-000-029
27,29,0,30,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,UNE CHAROGNE,FDM-027-029-000-030
28,30,0,31,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,DE PROFUNDIS CLAMAVI,FDM-028-030-000-031
29,31,0,32,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE VAMPIRE,FDM-029-031-000-032
31,32,0,33,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Une nuit que j’etais pres d’une Juive,FDM-031-032-000-033
32,33,0,34,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,REMORDS POSTHUME,FDM-032-033-000-034
33,34,0,35,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,"LE CHAT (Viens, mon beau chat)",FDM-033-034-000-035
0,35,0,36,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Duellum,FDM-000-035-000-036
34,36,0,37,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE BALCON,FDM-034-036-000-037
0,37,0,38,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE POSSEDE,FDM-000-037-000-038
0,38,0,39,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,UN FANTOME,FDM-000-038-000-039
35,39,0,40,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Je te donne ces versa fin que si mon nom,FDM-035-039-000-040
0,40,0,41,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,SEMPER EADEM,FDM-000-040-000-041
36,41,0,42,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,TOUT ENTIERE,FDM-036-041-000-042
37,42,0,43,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,"Que diras-tu ce soir, pauvre âme solitaire (untitled)",FDM-037-042-000-043
38,43,0,44,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Le Flambeau vivant,FDM-038-043-000-044
40,44,0,45,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Reversibilite,FDM-040-044-000-045
41,45,0,46,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,CONFESSION,FDM-041-045-000-046
42,46,0,47,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L’Aube spirituelle,FDM-042-046-000-047
43,47,0,48,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Harmonie du soir,FDM-043-047-000-048
44,48,0,49,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE FLACON,FDM-044-048-000-049
45,49,0,50,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE POISON,FDM-045-049-000-050
46,50,0,51,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Ciel brouille,FDM-046-050-000-051
47,51,0,52,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE CHAT (Dans ma cervelle se promène),FDM-047-051-000-052
48,52,0,53,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,LE BEAU NAVIRE,FDM-048-052-000-053
49,53,0,54,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L’Invitation au voyage,FDM-049-053-000-054
50,54,0,55,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,L'Irréparable,FDM-050-054-000-055
51,55,0,56,SPLEEN ET IDÉAL,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,Causerie,FDM-051-055-000-056
0,56,0,57,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,CHANT D'AUTOMNE,FDM-000-056-000-057
0,57,0,58,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,A une Madone,FDM-000-057-000-058
0,58,0,59,nope,SPLEEN ET IDÉAL,nope,SPLEEN ET IDÉAL,nope,CHANSON D'APRES-MIDI,FDM-000-058-000-059
